   ,name         ,score                  ,loc                 ,scale                   ,arg                                        ,params                                                                            ,model                                                                             ,bootstrap_score ,bootstrap_pass ,color
 0 ,beta         ,5.914239345455651e-09  ,0.9999999999999999  ,1425718.4494510037      ,"(0.6507850157951769, 34.90112793218721)"  ,"(0.6507850157951769, 34.90112793218721, 0.9999999999999999, 1425718.4494510037)" ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827b3e7d10> ,              0 ,               ,#e41a1c
 1 ,gamma        ,6.804787479936831e-09  ,0.9999999999999999  ,  26034.1581225084      ,"(0.7946832614862643,)"                    ,"(0.7946832614862643, 0.9999999999999999, 26034.1581225084)"                      ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fb83350> ,              0 ,               ,#e41a1c
 2 ,lognorm      ,7.85651960661022e-09   ,-197.35146764593588 ,  11087.353522423466    ,"(1.4977129825971562,)"                    ,"(1.4977129825971562, -197.35146764593588, 11087.353522423466)"                   ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fb7d990> ,              0 ,               ,#377eb8
 3 ,pareto       ,9.975434648844707e-09  ,-50069.10240353953  ,  50070.102403539524    ,"(2.869450502847946,)"                     ,"(2.869450502847946, -50069.10240353953, 50070.102403539524)"                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082676e1690> ,              0 ,               ,#377eb8
 4 ,powerlaw     ,1.3357118313582473e-08 ,0.9999999999999999  , 139408.00000000003     ,"(0.3834060605893954,)"                    ,"(0.3834060605893954, 0.9999999999999999, 139408.00000000003)"                    ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708267714ad0> ,              0 ,               ,#4daf4a
 5 ,expon        ,1.643297417484281e-08  ,1.0                 ,  25404.84118829884     ,()                                         ,"(1.0, 25404.84118829884)"                                                        ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825dddc810> ,              0 ,               ,#984ea3
 6 ,dweibull     ,2.6353290811215955e-08 ,5320.999999999999   ,  18692.845205431055    ,"(0.7535764705497363,)"                    ,"(0.7535764705497363, 5320.999999999999, 18692.845205431055)"                     ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70824d0aad10> ,              0 ,               ,#984ea3
 7 ,t            ,3.251551303070075e-08  ,11987.569623215422  ,  12907.845870246201    ,"(1.5336902551166745,)"                    ,"(1.5336902551166745, 11987.569623215422, 12907.845870246201)"                    ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082676e2790> ,              0 ,               ,#ff7f00
 8 ,laplace      ,3.567642501563778e-08  ,13826.0             ,  20694.817612302973    ,()                                         ,"(13826.0, 20694.817612302973)"                                                   ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082813a7410> ,              0 ,               ,#ff7f00
 9 ,logistic     ,3.9562732602372995e-08 ,20104.525260572565  ,  15233.80009560573     ,()                                         ,"(20104.525260572565, 15233.80009560573)"                                         ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082822b6510> ,              0 ,               ,#ffff33
10 ,maxwell      ,4.018957303008831e-08  ,-33509.16266649762  ,  38117.50723664813     ,()                                         ,"(-33509.16266649762, 38117.50723664813)"                                         ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082822b7a90> ,              0 ,               ,#a65628
11 ,norm         ,4.3060516992640514e-08 ,25405.84118829884   ,  29796.90077929434     ,()                                         ,"(25405.84118829884, 29796.90077929434)"                                          ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825dcf9cd0> ,              0 ,               ,#a65628
12 ,genextreme   ,4.776995487499904e-08  ,4.307510818065842   ,     20.149440048669305 ,"(-6.09198555558785,)"                     ,"(-6.09198555558785, 4.307510818065842, 20.149440048669305)"                      ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708280156350> ,              0 ,               ,#f781bf
13 ,uniform      ,5.304779911943333e-08  ,1.0                 , 139408.0               ,()                                         ,"(1.0, 139408.0)"                                                                 ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828011ced0> ,              0 ,               ,#f781bf
14 ,powerlognorm ,7.732754352126325e-08  ,0.9964953121547895  ,      3.805962821375511 ,"(0.14525866650140393, 2.548431201270606)" ,"(0.14525866650140393, 2.548431201270606, 0.9964953121547895, 3.805962821375511)" ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828138da90> ,              0 ,               ,#999999
15 ,powernorm    ,                       ,-18651.64248403316  ,    210.3599825598195   ,"(3.126027097717758e-05,)"                 ,"(3.126027097717758e-05, -18651.64248403316, 210.3599825598195)"                  ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825dde33d0> ,              0 ,               ,#999999
