   ,name         ,score                  ,loc                 ,scale                          ,arg                                             ,params                                                                                   ,model                                                                             ,bootstrap_score ,bootstrap_pass ,color
 0 ,powerlaw     ,9.162502373523546e-12  ,0.9999999999999999  ,        145315.00000000003     ,"(0.8890303389702157,)"                         ,"(0.8890303389702157, 0.9999999999999999, 145315.00000000003)"                           ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281334990> ,              0 ,               ,#e41a1c
 1 ,uniform      ,5.00228713205528e-11   ,1.0                 ,        145315.0               ,()                                              ,"(1.0, 145315.0)"                                                                        ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082812f8c50> ,              0 ,               ,#e41a1c
 2 ,beta         ,5.4152925731863806e-11 ,-6.806916741512913  ,        145322.80691674154     ,"(0.8117947283352374, 0.8644583796076639)"      ,"(0.8117947283352374, 0.8644583796076639, -6.806916741512913, 145322.80691674154)"       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082630a7850> ,              0 ,               ,#377eb8
 3 ,maxwell      ,3.53421407838221e-10   ,-30184.422216499406 ,         61393.42983042105     ,()                                              ,"(-30184.422216499406, 61393.42983042105)"                                               ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082812c67d0> ,              0 ,               ,#377eb8
 4 ,lognorm      ,3.7772276291540624e-10 ,-172149.1958636888  ,        235842.6023086055      ,"(0.1778004684038366,)"                         ,"(0.1778004684038366, -172149.1958636888, 235842.6023086055)"                            ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828133c610> ,              0 ,               ,#4daf4a
 5 ,gamma        ,3.841291409490649e-10  ,-232710.8754200053  ,          5906.6827275646565   ,"(50.80145771731698,)"                          ,"(50.80145771731698, -232710.8754200053, 5906.6827275646565)"                            ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708262f5a450> ,              0 ,               ,#984ea3
 6 ,t            ,3.9826941800481675e-10 ,67423.02538561393   ,         42192.95032527392     ,"(56178990.52281016,)"                          ,"(56178990.52281016, 67423.02538561393, 42192.95032527392)"                              ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827a8c1490> ,              0 ,               ,#984ea3
 7 ,norm         ,3.9826943143680074e-10 ,67423.02730350183   ,         42192.95031689039     ,()                                              ,"(67423.02730350183, 42192.95031689039)"                                                 ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281325190> ,              0 ,               ,#ff7f00
 8 ,dweibull     ,4.1019775565215686e-10 ,68362.49935342219   ,         40378.439740836504    ,"(1.6276834172477121,)"                         ,"(1.6276834172477121, 68362.49935342219, 40378.439740836504)"                            ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082812c4610> ,              0 ,               ,#ff7f00
 9 ,logistic     ,4.544676814332864e-10  ,66538.47536499168   ,         25619.47513543742     ,()                                              ,"(66538.47536499168, 25619.47513543742)"                                                 ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082812c66d0> ,              0 ,               ,#ffff33
10 ,pareto       ,4.680402799479688e-10  ,-17592186044414.992 ,17592186044415.99              ,"(260926388.52489,)"                            ,"(260926388.52489, -17592186044414.992, 17592186044415.99)"                              ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70828134b090> ,              0 ,               ,#a65628
11 ,expon        ,4.680403157684101e-10  ,1.0                 ,         67422.02730350183     ,()                                              ,"(1.0, 67422.02730350183)"                                                               ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827a8bea90> ,              0 ,               ,#a65628
12 ,laplace      ,7.087333384480504e-10  ,64864.0             ,         36475.96695587859     ,()                                              ,"(64864.0, 36475.96695587859)"                                                           ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708279da8c10> ,              0 ,               ,#f781bf
13 ,powerlognorm ,2.0181405381728595e-09 ,-2579.0053702365485 ,           132.02426804560434  ,"(2.270184384980977e-06, 0.006456037697958097)" ,"(2.270184384980977e-06, 0.006456037697958097, -2579.0053702365485, 132.02426804560434)" ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082812ed090> ,              0 ,               ,#f781bf
14 ,genextreme   ,2.4732028871611293e-09 ,4.416128352732631   ,            24.454983849089665 ,"(-7.158681992392713,)"                         ,"(-7.158681992392713, 4.416128352732631, 24.454983849089665)"                            ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827a8c3ad0> ,              0 ,               ,#999999
15 ,powernorm    ,                       ,-11834.507298218981 ,           284.11654771287533  ,"(1.998691019489786e-05,)"                      ,"(1.998691019489786e-05, -11834.507298218981, 284.11654771287533)"                       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7082812c7490> ,              0 ,               ,#999999
