   ,name         ,score                  ,loc                  ,scale                        ,arg                                             ,params                                                                                  ,model                                                                             ,bootstrap_score ,bootstrap_pass ,color
 0 ,beta         ,1.7661822674469897e-05 ,0.9999999999999999   ,        902.4417624619954    ,"(0.9258096236521509, 1.7208744945675574)"      ,"(0.9258096236521509, 1.7208744945675574, 0.9999999999999999, 902.4417624619954)"       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827ad61850> ,              0 ,               ,#e41a1c
 1 ,gamma        ,1.783441239806071e-05  ,-0.16950654002630677 ,        221.31948824007958   ,"(1.4035756690895478,)"                         ,"(1.4035756690895478, -0.16950654002630677, 221.31948824007958)"                        ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fb03350> ,              0 ,               ,#e41a1c
 2 ,pareto       ,1.9911716922111432e-05 ,-68719476735.0       ,68719476735.99999            ,"(222056000.85514683,)"                         ,"(222056000.85514683, -68719476735.0, 68719476735.99999)"                               ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708279e39690> ,              0 ,               ,#377eb8
 3 ,expon        ,1.9911717603998945e-05 ,1.0                  ,        309.469128113879     ,()                                              ,"(1.0, 309.469128113879)"                                                               ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fafe510> ,              0 ,               ,#377eb8
 4 ,lognorm      ,2.022245722582295e-05  ,-75.5945144829135    ,        317.50867028726486   ,"(0.6497240981686823,)"                         ,"(0.6497240981686823, -75.5945144829135, 317.50867028726486)"                           ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827a98a0d0> ,              0 ,               ,#4daf4a
 5 ,genextreme   ,2.14018335336562e-05   ,188.52300228660278   ,        162.91149431660807   ,"(-0.1660658387124275,)"                        ,"(-0.1660658387124275, 188.52300228660278, 162.91149431660807)"                         ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fafea90> ,              0 ,               ,#984ea3
 6 ,powerlaw     ,2.3252121701620844e-05 ,0.9999999999999999   ,        898.0000000000001    ,"(0.6569864709983231,)"                         ,"(0.6569864709983231, 0.9999999999999999, 898.0000000000001)"                           ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825faffbd0> ,              0 ,               ,#984ea3
 7 ,maxwell      ,2.5889936219568968e-05 ,-188.99313571365786  ,        317.76070519859957   ,()                                              ,"(-188.99313571365786, 317.76070519859957)"                                             ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70826f2fa6d0> ,              0 ,               ,#ff7f00
 8 ,laplace      ,2.6936197125750894e-05 ,237.0                ,        188.1855575326216    ,()                                              ,"(237.0, 188.1855575326216)"                                                            ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708279e4c990> ,              0 ,               ,#ff7f00
 9 ,logistic     ,2.842527265963152e-05  ,288.06727229808445   ,        134.8969628190405    ,()                                              ,"(288.06727229808445, 134.8969628190405)"                                               ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fb055d0> ,              0 ,               ,#ffff33
10 ,dweibull     ,2.858034311660241e-05  ,336.22905865988747   ,        222.1262120663731    ,"(1.6487845682561189,)"                         ,"(1.6487845682561189, 336.22905865988747, 222.1262120663731)"                           ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70825fafc950> ,              0 ,               ,#a65628
11 ,t            ,2.8986112796213596e-05 ,310.46501998525036   ,        231.19702664931611   ,"(6513947.697574714,)"                          ,"(6513947.697574714, 310.46501998525036, 231.19702664931611)"                           ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708279e4ea10> ,              0 ,               ,#a65628
12 ,norm         ,2.89863712768249e-05   ,310.469128113879     ,        231.1991513049456    ,()                                              ,"(310.469128113879, 231.1991513049456)"                                                 ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281334990> ,              0 ,               ,#f781bf
13 ,uniform      ,3.21745387496016e-05   ,1.0                  ,        898.0                ,()                                              ,"(1.0, 898.0)"                                                                          ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708279e4e350> ,              0 ,               ,#f781bf
14 ,powerlognorm ,0.00010675680618632768 ,-2.4630722386871575  ,          1.733595536249898  ,"(6.657385996847228e-07, 0.002839306207802367)" ,"(6.657385996847228e-07, 0.002839306207802367, -2.4630722386871575, 1.733595536249898)" ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x70827a989f10> ,              0 ,               ,#999999
15 ,powernorm    ,                       ,-81.02914749208128   ,          1.6687332594526545 ,"(2.692631750397139e-05,)"                      ,"(2.692631750397139e-05, -81.02914749208128, 1.6687332594526545)"                       ,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x708281301a50> ,              0 ,               ,#999999
